address,group,name,fields_address,fields_count,fields
0x180190230,default,EtInsertDynamicChart,0x1801901E0,1,filter:bool
0x18013F178,default,ETInsertFromFile,0x18013F160,1,filter:bool
0x180167518,default,EtInsertNewChart,0x180167500,1,filter:bool
0x18014C610,default,EtInsertObject,0x18014C5D8,1,filter:bool
0x180145D90,default,EtInsertOnlineChart,0x180145D58,1,filter:bool
0x18015FE60,default,EtInsertRecommendChart,0x18015FE48,1,filter:bool
0x1801B4390,default,EtInsertSymbolEmoji,0x1801B4358,1,filter:bool
0x1801304A0,default,EtInsertTabChart,0x180130420,1,support:bool
0x18018BC80,default,EtInsertTabNewChart,0x18018BC68,1,filter:bool
0x180185C50,default,EtKOcrToolMenu,0x180185C00,1,filter:bool
0x18013CF40,default,EtKWpsPackagePlugin,0x18013CEA8,1,filter:bool
0x18012F1A0,default,EtLastTimeSaveFilePath,0x18012F158,1,support:bool
0x18013EA90,default,ETLaTeXEquation,0x18013EA78,1,filter:bool
0x1801A12E8,default,EtListRangePopupAiSmartOrganize,0x1801A12D0,1,filter:bool
0x18019C060,default,EtListRangePopupSeparator,0x18019C008,1,filter:bool
0x1801A9680,default,EtLookupDatatab,0x1801A9618,1,filter:bool
0x18018B350,default,EtMacroRelativeReferences,0x18018B2E0,1,filter:bool
0x1801C7098,default,EtMClearSeparator,0x1801C7080,1,filter:bool
0x1801CA860,default,EtMenubarFillTool,0x1801CA7F8,1,filter:bool
0x1801A8A28,default,EtMenuSmartSplitColumns,0x1801A8A10,1,filter:bool
0x180180E90,default,EtMergeCancel,0x180180E78,1,filter:bool
0x180165290,default,EtMergeCopySheetsImageTipXA,0x180165258,1,support:bool
0x1801AF160,default,EtMergeRangeDataTipXA,0x1801AF128,1,support:bool
0x1801A1860,default,EtMergeSameNameImageTipXA,0x1801A17F0,1,support:bool
0x1801949B0,default,EtMergeSheetDlg,0x180194930,2,adjustLayout:bool;toolTipSignal:bool
0x1801AD1C8,default,EtMergeSheetsImageTipXA,0x1801AD1B0,1,support:bool
0x18016CA50,default,EtMFindSelectSeparator,0x18016CA20,1,filter:bool
0x18018DA20,default,EtMoreVIPFunctions,0x18018D9E0,1,filter:bool
0x1801589B0,default,EtMoreVIPFunctionsForCell,0x180158960,1,support:bool
0x1801B3D60,default,ETMoreVIPFunctionsPopup,0x1801B3D48,1,filter:bool
0x18018FC60,default,EtMultiClipboard,0x18018FC18,1,filter:bool
0x180180ED8,default,EtMultiClipboardGroup,0x180180EC0,1,filter:bool
0x1801405A8,default,EtMultipleShapesQuickBarBatchInsertPic,0x180140590,1,filter:bool
0x180130928,default,EtMultiRemindRepeatWidget,0x180130910,1,adjustLayout:bool
0x1801BDF68,default,EtNewBlankWorkbook,0x1801BDF50,1,filter:bool
